"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1075","RT @sparrowslnds: do u know u get free data by watching JM Videos?
@samini_dagaati
  @shattawalegh
  #JMToaso 
  #FREEDATA
  #JMnumber3 htt…",FALSE,0,NA,2016-12-02 13:49:11,FALSE,NA,"804683837859106816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1076","RT @sparrowslnds: Just got 50MB for watching two JM vidoes try it too
  @Bridget_Otoo
  @therealbolaray
    #JMToaso 
  #FREEDATA
  #JMnumb…",FALSE,0,NA,2016-12-02 13:48:59,FALSE,NA,"804683784322973696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1077","RT @sparrowslnds: i just got 100MB by watching 4 vidoes by JM
  @AbeikuSantana
  @DeleMomodu
  #JMToaso 
  #FREEDATA
  #JMnumber3 https://t…",FALSE,0,NA,2016-12-02 13:48:47,FALSE,NA,"804683733685125120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1078","RT @sparrowslnds: JM is so caring. just got my 50MB. Today will watch 50 vidoes 
  #JMToaso 
  #FREEDATA
  #JMnumber3 https://t.co/f0CQh2FY…",FALSE,0,NA,2016-12-02 13:48:36,FALSE,NA,"804683687694630912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GodwinAnane2",3,TRUE,FALSE,NA,NA
"1079","RT @sparrowslnds: Do u know VoteJM16 App rewards u for watching JM Videos?. It works
  @johndumelo1
  @RNiiArdayClegg
  #JMToaso 
  #FREEDA…",FALSE,0,NA,2016-12-02 13:48:27,FALSE,NA,"804683650835083264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1080","RT @sparrowslnds: It works!! I got 100MB for watching 4 JM Videos. i like this, Try it too
  @joy997
  @starr1035fm
  #JMToaso 
  #FREEDATA…",FALSE,0,NA,2016-12-02 13:48:03,FALSE,NA,"804683551606263808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1081","RT @Nanakesse24: Prez @JDMahama is investing in the oil sector to grow Ghana's economy.
@TransformingGh @AbeikuSantana @lizofosuadjare @JmT…",FALSE,0,NA,2016-12-02 13:47:26,FALSE,NA,"804683397272629248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ExecBaakope",7,TRUE,FALSE,NA,NA
"1082","RT @sparrowslnds: #FREEDATA charley ebe true ooo.   #FREEDATA is super real
  #JMToaso 
  #FREEDATA
  #JMnumber3 https://t.co/xwKDFT1sEx",FALSE,0,NA,2016-12-02 13:47:17,FALSE,NA,"804683359788077056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1083","RT @sparrowslnds: JM is so caring. just got my 50MB. Today will watch 50 vidoes 
  #JMToaso 
  #FREEDATA
  #JMnumber3 https://t.co/f0CQh2FY…",FALSE,0,NA,2016-12-02 13:47:09,FALSE,NA,"804683325759782912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",3,TRUE,FALSE,NA,NA
"1084","RT @Nanakesse24: Prez @JDMahama and the NDC are providing more employment opportunities to the youth through the YEA initiative. @AbeikuSan…",FALSE,0,NA,2016-12-02 13:47:06,FALSE,NA,"804683310454677504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ExecBaakope",6,TRUE,FALSE,NA,NA
