"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"221","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450560102400",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Jetjumbo3",99,TRUE,FALSE,NA,NA
"222","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450560098304",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AtiyahMercy",99,TRUE,FALSE,NA,NA
"223","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450555850754",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Popolee101",99,TRUE,FALSE,NA,NA
"224","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450513997828",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Obededon2",99,TRUE,FALSE,NA,NA
"225","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450513903616",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","atsuviga",99,TRUE,FALSE,NA,NA
"226","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450509803520",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Addio17",99,TRUE,FALSE,NA,NA
"227","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450497220608",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","phine51",99,TRUE,FALSE,NA,NA
"228","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450497130496",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Rosakum3",99,TRUE,FALSE,NA,NA
"229","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450492989440",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FredAgyap01",99,TRUE,FALSE,NA,NA
"230","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 19:53:14,FALSE,NA,"804775450488799232",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AshonBen",99,TRUE,FALSE,NA,NA
